Code,Name,Image,ac_sale,ac_cost,ac_stock,ac_stock_adj,ac_cost_variant,ac_purchase
C-001,ADJUSTABLE FREEZER,no_image.png,,,,,,
C-002,AIR CONDITIONER,no_image.png,,,,,,
C-003,BLENDER,no_image.png,,,,,,
C-004,CHARCOAL FILTER,no_image.png,,,,,,
C-005,CHEST FREEZER,no_image.png,,,,,,
C-006,DOUBLE FREEZER,no_image.png,,,,,,
C-007,DVD Player,no_image.png,,,,,,
C-008,ELECTRIC HOT PLATE,no_image.png,,,,,,
C-009,ELECTRIC KETTLE,no_image.png,,,,,,
C-010,FAN,no_image.png,,,,,,
C-011,FILTER,no_image.png,,,,,,
C-012,GAS STOVE,no_image.png,,,,,,
C-013,GAS TANK,no_image.png,,,,,,
C-014,HIFI STEREO,no_image.png,,,,,,
C-015,ICE CREAM FREEZER,no_image.png,,,,,,
C-016,IRON,no_image.png,,,,,,
C-017,PIPE,no_image.png,,,,,,
C-018,PRESSURE COOKER,no_image.png,,,,,,
C-019,RANGE HOOD,no_image.png,,,,,,
C-020,REFRIGERATOR,no_image.png,,,,,,
C-021,REGULATOR,no_image.png,,,,,,
C-022,REMOTE,no_image.png,,,,,,
C-023,RICE COOKER,no_image.png,,,,,,
C-024,ROATER OVEN,no_image.png,,,,,,
C-025,SHOWCASE,no_image.png,,,,,,
C-026,STAND MIXER,no_image.png,,,,,,
C-027,TV,no_image.png,,,,,,
C-028,UP RIGHT FREEZER,no_image.png,,,,,,
C-029,WASHING MACHINE,no_image.png,,,,,,
C-030,WATER DISPENSER,no_image.png,,,,,,
